Date,File Name,Dataset,CRS,Bounds,Path
2025-11-27,[TS_S2_2025-01-01_RGB_20260301_1352] 2025-11-27,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1352\Data_2025-11-27\TS_S2_2025-01-01_RGB_20260301_1352_2025-11-27.tif
2025-01-03,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-01-03,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-01-03\TS_S2_2025-01-03_RGB_20260301_1432_2025-01-03.tif
2025-01-28,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-01-28,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-01-28\TS_S2_2025-01-03_RGB_20260301_1432_2025-01-28.tif
2025-02-27,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-02-27,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-02-27\TS_S2_2025-01-03_RGB_20260301_1432_2025-02-27.tif
2025-03-29,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-03-29,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-03-29\TS_S2_2025-01-03_RGB_20260301_1432_2025-03-29.tif
2025-04-28,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-04-28,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-04-28\TS_S2_2025-01-03_RGB_20260301_1432_2025-04-28.tif
2025-06-02,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-06-02,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-06-02\TS_S2_2025-01-03_RGB_20260301_1432_2025-06-02.tif
2025-06-27,[TS_S2_2025-01-03_RGB_20260301_1432] 2025-06-27,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(12.27, 122.42)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-03_RGB_20260301_1432\Data_2025-06-27\TS_S2_2025-01-03_RGB_20260301_1432_2025-06-27.tif
2025-01-01,[TS_S2_2025-01-01_RGB_20260301_1657] 2025-01-01,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(-29.69, 22.71)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1657\Data_2025-01-01\TS_S2_2025-01-01_RGB_20260301_1657_2025-01-01.tif
2025-01-31,[TS_S2_2025-01-01_RGB_20260301_1657] 2025-01-31,Sentinel-2 (Cloud-Masked RGB),EPSG:4326,"Rect(-29.69, 22.71)",C:/Users/PSA/Downloads/reymond_robin_mesuga_files/02_Feb_2026/gee_data_downloader/Data\TS_S2_2025-01-01_RGB_20260301_1657\Data_2025-01-31\TS_S2_2025-01-01_RGB_20260301_1657_2025-01-31.tif
